,planet_name,hostname,sys_num_stars,sys_num_planet,discovery_method,discovery_year,discovery_telescope,orbital_period,orbital_semi_major,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,eccentricity,stellar_eff_temp,stellar_radius,stellar_mass,dist_system,dist_system_ly
889,Kepler-1337 b,Kepler-1337,1,1,Transit,2016,0.95 m Kepler Telescope,24.4002549,0.1441,2.41,0.215,6.39,0.0201,0.0,4523.0,0.67,0.7,601.629,1962.5137980000002
890,Kepler-1502 b,Kepler-1502,1,1,Transit,2016,0.95 m Kepler Telescope,41.7083629,0.2482,3.18,0.284,10.2,0.0322,0.0,6666.0,1.72,1.44,1514.02,4938.73324
891,Kepler-1302 b,Kepler-1302,1,1,Transit,2016,0.95 m Kepler Telescope,8.83922659,0.0795,1.43,0.128,2.63,0.00829,0.0,5236.0,0.82,0.86,634.58,2069.99996
892,Kepler-1511 b,Kepler-1511,1,1,Transit,2016,0.95 m Kepler Telescope,23.2382792,0.1753,1.68,0.15,3.46,0.0109,0.0,6064.0,1.29,1.17,1475.6,4813.4072
893,Kepler-1311 c,Kepler-1311,1,2,Transit,2016,0.95 m Kepler Telescope,2.53573424,0.0368,1.22,0.109,1.98,0.00624,0.0,5748.0,1.4,1.05,866.331,2825.971722
894,Kepler-1584 b,Kepler-1584,1,1,Transit,2016,0.95 m Kepler Telescope,13.3997099,0.1168,1.61,0.144,3.22,0.0101,0.0,6069.0,1.13,1.1,1416.31,4620.00322
895,Kepler-1294 b,Kepler-1294,1,1,Transit,2016,0.95 m Kepler Telescope,115.6862258,0.4684,3.19,0.285,10.3,0.0324,0.0,5776.0,0.97,0.99,1855.7,6053.2934000000005
896,Kepler-1297 b,Kepler-1297,1,1,Transit,2016,0.95 m Kepler Telescope,1.68189002,0.0283,0.97,0.087,0.871,0.00274,0.0,5818.0,0.99,0.99,1439.47,4695.5511400000005
897,Kepler-1298 b,Kepler-1298,1,1,Transit,2016,0.95 m Kepler Telescope,7.12811928,0.082,1.31,0.117,2.27,0.00714,0.0,6339.0,2.0,1.45,544.163,1775.059706
898,Kepler-131 c,Kepler-131,1,2,Transit,2014,0.95 m Kepler Telescope,25.5169,0.1684,0.84,0.075,8.25,0.026,0.0,5685.0,1.03,1.02,228.678,745.947636
899,Kepler-1316 b,Kepler-1316,1,1,Transit,2016,0.95 m Kepler Telescope,87.9732136,0.3859,3.54,0.316,12.3,0.0386,0.0,5884.0,1.12,1.04,800.871,2612.441202
900,Kepler-1335 b,Kepler-1335,1,1,Transit,2016,0.95 m Kepler Telescope,6.26406846,0.0615,1.45,0.129,2.7,0.00849,0.0,4903.0,0.74,0.77,621.853,2028.4844859999998
901,Kepler-1576 b,Kepler-1576,1,1,Transit,2016,0.95 m Kepler Telescope,6.98471973,0.0726,1.04,0.093,1.12,0.00352,0.0,5876.0,1.06,1.05,460.91,1503.4884200000001
902,Kepler-1490 b,Kepler-1490,1,1,Transit,2016,0.95 m Kepler Telescope,92.4362973,0.3729,3.04,0.271,9.48,0.0298,0.0,5515.0,0.87,0.9,862.92,2814.8450399999997
903,Kepler-1512 b,Kepler-1512,1,1,Transit,2016,0.95 m Kepler Telescope,20.35972599,0.1097,1.18,0.105,1.76,0.00553,0.0,4372.0,0.67,0.73,162.0,528.444
904,Kepler-1338 b,Kepler-1338,1,1,Transit,2016,0.95 m Kepler Telescope,0.93511806,0.0193,0.92,0.082,0.721,0.00227,0.0,5909.0,1.05,1.04,753.26,2457.13412
905,Kepler-1323 b,Kepler-1323,1,1,Transit,2016,0.95 m Kepler Telescope,0.92990668,0.0191,1.52,0.136,2.92,0.0092,0.0,6169.0,1.4,1.18,465.417,1518.1902539999999
906,Kepler-1498 b,Kepler-1498,1,1,Transit,2016,0.95 m Kepler Telescope,48.051405,0.2528,1.33,0.119,2.33,0.00733,0.0,5256.0,0.81,0.86,740.0,2413.88
907,Kepler-1499 b,Kepler-1499,1,1,Transit,2016,0.95 m Kepler Telescope,44.2008,0.2196,1.19,0.106,1.81,0.0057,0.0,5097.0,0.78,0.82,309.869,1010.7926780000001
908,Kepler-133 c,Kepler-133,1,2,Transit,2014,0.95 m Kepler Telescope,31.517586,0.204,2.84,0.253,8.45,0.0266,0.0,5736.0,1.43,1.02,653.6,2132.0432
909,Kepler-1336 c,Kepler-1336,1,2,Transit,2016,0.95 m Kepler Telescope,5.77721211,0.0631,1.71,0.153,3.57,0.0112,0.0,5512.0,1.3,0.94,1126.64,3675.0996800000003
910,Kepler-134 c,Kepler-134,1,2,Transit,2014,0.95 m Kepler Telescope,10.105785,0.092,1.26,0.112,2.13,0.00669,0.0,5983.0,1.18,1.06,334.797,1092.1078140000002
911,Kepler-1355 b,Kepler-1355,1,1,Transit,2016,0.95 m Kepler Telescope,1.28958811,0.0224,1.46,0.13,2.73,0.00859,0.0,5352.0,0.83,0.88,911.269,2972.559478
912,Kepler-1513 b,Kepler-1513,1,1,Transit,2016,0.95 m Kepler Telescope,160.88465087,0.5416,8.46,0.755,53.9,0.17,0.0,5617.0,0.97,0.99,349.247,1139.243714
913,Kepler-1370 b,Kepler-1370,1,2,Transit,2016,0.95 m Kepler Telescope,20.2641684,0.1495,1.84,0.164,4.04,0.0127,0.0,6202.0,1.29,1.19,1004.1,3275.3742
914,Kepler-1360 b,Kepler-1360,1,1,Transit,2016,0.95 m Kepler Telescope,40.5286413,0.2866,3.4,0.303,11.5,0.0361,0.0,6778.0,1.83,1.51,1516.27,4946.07274
915,Kepler-1367 b,Kepler-1367,1,1,Transit,2016,0.95 m Kepler Telescope,1.57409027,0.0236,0.92,0.082,0.721,0.00227,0.0,4106.0,0.6,0.62,401.484,1309.6408079999999
916,Kepler-1381 b,Kepler-1381,1,1,Transit,2016,0.95 m Kepler Telescope,25.3842686,0.1728,2.25,0.201,5.69,0.0179,0.0,5747.0,0.94,0.96,1197.04,3904.74448
917,Kepler-1383 b,Kepler-1383,1,1,Transit,2016,0.95 m Kepler Telescope,13.9093583,0.1179,1.41,0.126,2.57,0.00809,0.0,6370.0,1.44,1.26,1027.21,3350.75902
918,Kepler-1371 c,Kepler-1371,1,2,Transit,2016,0.95 m Kepler Telescope,2.00541269,0.0274,0.64,0.057,0.196,0.00062,0.0,5361.0,0.83,0.87,515.334,1681.0195079999999
919,Kepler-1373 b,Kepler-1373,1,1,Transit,2016,0.95 m Kepler Telescope,1.29123275,0.0242,1.16,0.103,1.65,0.00521,0.0,6299.0,1.33,1.22,1699.46,5543.63852
920,Kepler-1397 b,Kepler-1397,1,1,Transit,2016,0.95 m Kepler Telescope,47.449955,0.2602,1.72,0.153,3.61,0.0113,0.0,6026.0,1.12,1.09,1198.25,3908.6915
921,Kepler-1386 b,Kepler-1386,1,1,Transit,2016,0.95 m Kepler Telescope,6.73972381,0.068,1.24,0.111,2.07,0.00651,0.0,5733.0,1.03,1.02,835.882,2726.6470839999997
922,Kepler-1406 b,Kepler-1406,1,1,Transit,2016,0.95 m Kepler Telescope,11.62905828,0.0987,1.1,0.098,1.37,0.0043,0.0,5892.0,1.12,1.05,572.403,1867.178586
923,Kepler-1554 b,Kepler-1554,1,1,Transit,2016,0.95 m Kepler Telescope,198.088774,0.6314,2.9,0.259,8.75,0.0275,0.0,5297.0,0.81,0.84,946.847,3088.6149139999998
924,Kepler-1536 b,Kepler-1536,1,1,Transit,2016,0.95 m Kepler Telescope,364.758031,0.8507,3.14,0.28,10.0,0.0315,0.0,4434.0,0.67,0.71,387.248,1263.202976
925,Kepler-1420 b,Kepler-1420,1,1,Transit,2016,0.95 m Kepler Telescope,6.69960006,0.0671,1.28,0.114,2.18,0.00687,0.0,5187.0,0.79,0.82,1054.37,3439.3549399999997
926,Kepler-1544 b,Kepler-1544,1,1,Transit,2016,0.95 m Kepler Telescope,168.811174,0.5421,1.78,0.159,3.82,0.012,0.0,4886.0,0.74,0.81,335.09,1093.06358
927,Kepler-1577 b,Kepler-1577,1,1,Transit,2016,0.95 m Kepler Telescope,6.30560247,0.0657,1.13,0.101,1.51,0.00474,0.0,4862.0,0.74,0.78,510.029,1663.714598
928,Kepler-1410 b,Kepler-1410,1,1,Transit,2016,0.95 m Kepler Telescope,60.866168,0.2543,1.78,0.159,3.82,0.012,0.0,4092.0,0.6,0.63,367.0,1197.154
929,Kepler-1426 b,Kepler-1426,1,1,Transit,2016,0.95 m Kepler Telescope,14.2563227,0.1187,1.56,0.139,3.05,0.00961,0.0,5831.0,1.02,1.02,1697.81,5538.25622
930,Kepler-1432 b,Kepler-1432,1,1,Transit,2016,0.95 m Kepler Telescope,23.9109011,0.1696,2.22,0.198,5.56,0.0175,0.0,6031.0,1.13,1.09,2171.87,7084.63994
931,Kepler-1436 b,Kepler-1436,1,1,Transit,2016,0.95 m Kepler Telescope,9.705716,0.0907,1.31,0.117,2.27,0.00714,0.0,5972.0,1.09,1.06,2530.62,8254.88244
932,Kepler-142 b,Kepler-142,1,3,Transit,2014,0.95 m Kepler Telescope,2.024152,0.032,1.99,0.178,4.62,0.0145,0.0,5790.0,1.27,0.99,548.686,1789.813732
933,Kepler-150 b,Kepler-150,1,5,Transit,2014,0.95 m Kepler Telescope,3.428054,0.044,1.25,0.112,2.1,0.0066,0.0,5560.0,0.94,0.94,891.092,2906.742104
934,Kepler-1579 b,Kepler-1579,1,1,Transit,2016,0.95 m Kepler Telescope,0.84990789,0.014,0.84,0.075,0.52,0.00164,0.0,4584.0,0.7,0.75,466.0,1520.092
935,Kepler-15 b,Kepler-15,1,1,Transit,2011,0.95 m Kepler Telescope,4.942782,0.05714,10.76,0.96,209.76,0.66,0.06,5515.0,0.99,1.02,739.412,2411.961944
936,Kepler-492 b,Kepler-492,1,1,Transit,2016,0.95 m Kepler Telescope,11.72012266,0.0935,9.59,0.856,66.7,0.21,0.0,5527.0,0.91,0.94,587.91,1917.7624199999998
937,Kepler-1507 b,Kepler-1507,1,1,Transit,2016,0.95 m Kepler Telescope,16.0506213,0.1234,0.84,0.075,0.52,0.00164,0.0,5410.0,0.85,0.89,320.478,1045.399236
938,Kepler-1428 b,Kepler-1428,1,1,Transit,2016,0.95 m Kepler Telescope,10.67607169,0.1059,1.64,0.146,3.33,0.0105,0.0,6184.0,1.36,1.28,1530.32,4991.90384
939,Kepler-1453 b,Kepler-1453,1,1,Transit,2016,0.95 m Kepler Telescope,47.1611696,0.262,2.67,0.238,7.61,0.0239,0.0,5665.0,0.94,0.97,1196.04,3901.4824799999997
940,Kepler-495 b,Kepler-495,1,1,Transit,2016,0.95 m Kepler Telescope,3.41303622,0.0427,5.23,0.467,23.8,0.0749,0.0,5346.0,0.83,0.86,658.924,2149.410088
941,Kepler-1438 b,Kepler-1438,1,1,Transit,2016,0.95 m Kepler Telescope,2.31942009,0.0346,0.94,0.084,0.779,0.00245,0.0,5530.0,0.96,0.97,1154.13,3764.7720600000002
942,Kepler-1465 b,Kepler-1465,1,1,Transit,2016,0.95 m Kepler Telescope,31.8277111,0.1939,1.77,0.158,3.78,0.0119,0.0,4726.0,0.71,0.75,359.497,1172.679214
943,Kepler-1469 b,Kepler-1469,1,1,Transit,2016,0.95 m Kepler Telescope,21.8635301,0.1466,2.8,0.25,8.25,0.0259,0.0,5507.0,0.89,0.92,1159.3,3781.6366
944,Kepler-1528 b,Kepler-1528,1,1,Transit,2016,0.95 m Kepler Telescope,1.79111021,0.0296,1.46,0.13,2.73,0.00859,0.0,5857.0,1.03,1.03,817.534,2666.795908
945,Kepler-1550 b,Kepler-1550,1,1,Transit,2016,0.95 m Kepler Telescope,225.582809,0.7681,3.02,0.269,9.38,0.0295,0.0,5991.0,1.11,1.07,1179.01,3845.93062
946,Kepler-1468 b,Kepler-1468,1,2,Transit,2016,0.95 m Kepler Telescope,8.23984869,0.0817,1.73,0.154,3.64,0.0115,0.0,5893.0,1.05,1.04,1899.24,6195.32088
947,Kepler-153 c,Kepler-153,1,2,Transit,2014,0.95 m Kepler Telescope,46.90232,0.237,2.53,0.226,6.94,0.0218,0.0,5404.0,0.89,0.83,459.368,1498.458416
948,Kepler-1551 b,Kepler-1551,1,1,Transit,2016,0.95 m Kepler Telescope,24.4973698,0.1772,2.66,0.237,7.56,0.0238,0.0,6136.0,1.22,1.14,1463.72,4774.65464
949,Kepler-1479 b,Kepler-1479,1,1,Transit,2016,0.95 m Kepler Telescope,14.53261362,0.1173,1.83,0.163,4.01,0.0126,0.0,5796.0,0.98,0.99,728.668,2376.915016
950,Kepler-1483 b,Kepler-1483,1,1,Transit,2016,0.95 m Kepler Telescope,9.5085156,0.0958,1.52,0.136,2.92,0.0092,0.0,6337.0,1.4,1.25,1273.78,4155.07036
951,Kepler-1526 b,Kepler-1526,1,1,Transit,2016,0.95 m Kepler Telescope,3.908632,0.0418,2.43,0.217,6.48,0.0204,0.0,4601.0,0.69,0.73,555.574,1812.2823879999999
952,Kepler-1442 b,Kepler-1442,1,1,Transit,2016,0.95 m Kepler Telescope,81.4162941,0.4039,3.93,0.351,14.7,0.0461,0.0,6394.0,1.44,1.34,608.68,1985.51416
953,Kepler-153 b,Kepler-153,1,2,Transit,2014,0.95 m Kepler Telescope,18.870227,0.129,2.92,0.261,8.85,0.0279,0.0,5404.0,0.89,0.83,459.368,1498.458416
954,Kepler-1494 b,Kepler-1494,1,1,Transit,2016,0.95 m Kepler Telescope,91.080482,0.3982,3.07,0.274,9.64,0.0303,0.0,5659.0,0.94,0.96,1285.48,4193.2357600000005
955,Kepler-1566 b,Kepler-1566,1,1,Transit,2016,0.95 m Kepler Telescope,0.53991524,0.0121,0.79,0.07,0.418,0.00131,0.0,5254.0,0.81,0.84,466.586,1522.003532
956,Kepler-186 b,Kepler-186,1,5,Transit,2014,0.95 m Kepler Telescope,3.8867907,0.0343,1.07,0.095,1.24,0.0039,0.0,3788.0,0.47,0.48,177.594,579.3116279999999
957,Kepler-188 c,Kepler-188,1,2,Transit,2014,0.95 m Kepler Telescope,5.996553,0.066,3.19,0.285,10.3,0.0324,0.0,6021.0,1.14,0.98,968.544,3159.390528
958,Kepler-19 d,Kepler-19,1,3,Radial Velocity,2017,3.58 m Telescopio Nazionale Galileo,62.95,,5.06,0.451,22.5,0.07079,0.05,5544.0,0.86,0.94,218.562,712.949244
959,Kepler-725 b,Kepler-725,1,1,Transit,2016,0.95 m Kepler Telescope,39.64317811,0.215,10.63,0.948,79.4,0.25,0.0,5363.0,0.84,0.88,758.469,2474.1258780000003
960,Kepler-187 c,Kepler-187,1,2,Transit,2014,0.95 m Kepler Telescope,10.640263,0.099,2.67,0.238,7.61,0.0239,0.0,6105.0,1.29,1.11,1143.0,3728.466
961,Kepler-188 b,Kepler-188,1,2,Transit,2014,0.95 m Kepler Telescope,2.061897,0.032,1.68,0.15,3.46,0.0109,0.0,6021.0,1.14,0.98,968.544,3159.390528
962,Kepler-190 b,Kepler-190,1,2,Transit,2014,0.95 m Kepler Telescope,2.019999,0.03,1.56,0.139,3.05,0.00961,0.0,5106.0,0.8,0.86,433.387,1413.708394
963,Kepler-653 b,Kepler-653,1,2,Transit,2016,0.95 m Kepler Telescope,14.70748976,0.1197,1.95,0.174,4.46,0.014,0.0,5665.0,1.19,1.02,595.634,1942.958108
964,Kepler-67 b,Kepler-67,1,1,Transit,2013,0.95 m Kepler Telescope,15.7259,0.1171,2.94,0.262,8.96,0.0282,0.0,5331.0,0.78,0.86,1131.19,3689.94178
965,Kepler-728 b,Kepler-728,1,1,Transit,2016,0.95 m Kepler Telescope,5.74347727,0.0625,3.34,0.298,11.1,0.035,0.0,5660.0,0.93,0.95,1765.23,5758.18026
966,Kepler-201 b,Kepler-201,1,2,Transit,2014,0.95 m Kepler Telescope,25.672083,0.175,2.46,0.219,6.62,0.0208,0.0,6065.0,1.23,1.18,636.445,2076.08359
967,Kepler-1534 b,Kepler-1534,1,1,Transit,2016,0.95 m Kepler Telescope,5.71668872,0.0599,1.89,0.169,4.23,0.0133,0.0,5442.0,0.86,0.9,1107.0,3611.034
968,Kepler-1540 b,Kepler-1540,2,1,Transit,2016,0.95 m Kepler Telescope,125.4131177,0.4426,2.49,0.222,6.76,0.0213,0.0,4540.0,0.69,0.74,244.96,799.05952
969,Kepler-1542 b,Kepler-1542,1,4,Transit,2016,0.95 m Kepler Telescope,3.95116882,0.0479,0.76,0.068,0.363,0.00114,0.0,5564.0,0.99,0.94,399.114,1301.909868
970,Kepler-1542 e,Kepler-1542,1,4,Transit,2016,0.95 m Kepler Telescope,5.10115756,0.0567,0.76,0.068,0.363,0.00114,0.0,5564.0,0.99,0.94,399.114,1301.909868
971,Kepler-1543 b,Kepler-1543,1,1,Transit,2016,0.95 m Kepler Telescope,6.96710269,0.0867,2.71,0.242,7.8,0.0245,0.0,6561.0,1.65,1.39,921.784,3006.859408
972,Kepler-1553 b,Kepler-1553,1,1,Transit,2016,0.95 m Kepler Telescope,4.24261881,0.0481,1.15,0.103,1.6,0.00505,0.0,5288.0,0.81,0.85,692.594,2259.241628
973,Kepler-1585 b,Kepler-1585,1,1,Transit,2016,0.95 m Kepler Telescope,3.5827463,0.0445,1.79,0.16,3.86,0.0121,0.0,5538.0,0.91,0.94,944.465,3080.84483
974,Kepler-1586 b,Kepler-1586,1,1,Transit,2016,0.95 m Kepler Telescope,15.6049212,0.1266,1.52,0.136,2.92,0.0092,0.0,6681.0,1.75,1.45,552.55,1802.4180999999999
975,Kepler-732 b,Kepler-732,1,2,Transit,2016,0.95 m Kepler Telescope,9.46781405,0.0691,2.18,0.194,5.39,0.017,0.0,3631.0,0.46,0.49,174.826,570.282412
976,Kepler-203 b,Kepler-203,1,3,Transit,2014,0.95 m Kepler Telescope,3.162697,0.043,2.57,0.229,7.13,0.0224,0.0,5821.0,1.11,1.0,703.302,2294.171124
977,Kepler-207 c,Kepler-207,1,3,Transit,2014,0.95 m Kepler Telescope,3.071571,0.044,1.5,0.134,2.86,0.00899,0.0,5920.0,1.59,1.04,875.519,2855.942978
978,Kepler-1570 b,Kepler-1570,1,1,Transit,2016,0.95 m Kepler Telescope,26.548955,0.1784,1.07,0.095,1.24,0.0039,0.0,5550.0,0.89,0.92,918.995,2997.76169
979,Kepler-1575 b,Kepler-1575,1,1,Transit,2016,0.95 m Kepler Telescope,2.55314213,0.0366,1.31,0.117,2.27,0.00714,0.0,5667.0,0.92,0.95,1246.92,4067.4530400000003
980,Kepler-1522 b,Kepler-1522,1,1,Transit,2016,0.95 m Kepler Telescope,1.84788917,0.0288,1.73,0.154,3.64,0.0115,0.0,5706.0,0.93,0.96,814.125,2655.67575
981,Kepler-1525 b,Kepler-1525,1,1,Transit,2016,0.95 m Kepler Telescope,2.41660118,0.036,0.91,0.081,0.693,0.00218,0.0,5748.0,1.04,1.07,382.989,1249.3101179999999
982,Kepler-1546 b,Kepler-1546,1,1,Transit,2016,0.95 m Kepler Telescope,19.5974971,0.1366,3.13,0.279,9.96,0.0313,0.0,5623.0,0.93,0.95,931.956,3040.040472
983,Kepler-1547 b,Kepler-1547,1,1,Transit,2016,0.95 m Kepler Telescope,0.69297968,0.0165,0.9,0.08,0.666,0.0021,0.0,6078.0,1.18,1.12,674.695,2200.85509
984,Kepler-1555 b,Kepler-1555,1,1,Transit,2016,0.95 m Kepler Telescope,8.10501635,0.0805,1.61,0.144,3.22,0.0101,0.0,5866.0,1.06,1.04,2013.27,6567.28674
985,Kepler-221 c,Kepler-221,1,4,Transit,2014,0.95 m Kepler Telescope,5.690586,0.059,2.93,0.261,15.1,0.048,0.0,5243.0,0.82,0.82,385.231,1256.623522
986,Kepler-605 b,Kepler-605,1,2,Transit,2016,0.95 m Kepler Telescope,3.38353807,0.042,1.44,0.128,2.67,0.00839,0.0,5462.0,0.88,0.91,556.58,1815.5639600000002
987,Kepler-160 c,Kepler-160,1,3,Transit,2014,0.95 m Kepler Telescope,13.699429,0.1192,3.76,0.335,13.6,0.0428,0.0,5471.0,1.12,0.97,937.013,3056.536406
988,Kepler-1601 b,Kepler-1601,1,1,Transit,2016,0.95 m Kepler Telescope,2.20921951,0.0336,0.82,0.073,0.477,0.0015,0.0,5869.0,1.07,1.04,644.456,2102.215472
989,Kepler-1603 b,Kepler-1603,1,1,Transit,2016,0.95 m Kepler Telescope,2.27163926,0.0351,1.29,0.115,2.21,0.00696,0.0,6241.0,1.31,1.21,2712.58,8848.435959999999
990,Kepler-158 c,Kepler-158,1,2,Transit,2014,0.95 m Kepler Telescope,28.551383,0.158,1.9,0.17,4.27,0.0134,0.0,4623.0,0.62,0.66,315.177,1028.1073740000002
991,Kepler-1443 b,Kepler-1443,1,1,Transit,2016,0.95 m Kepler Telescope,2.41811321,0.0368,0.97,0.087,0.871,0.00274,0.0,6289.0,1.27,1.19,593.646,1936.4732519999998
992,Kepler-1447 b,Kepler-1447,1,1,Transit,2016,0.95 m Kepler Telescope,56.6747285,0.2836,2.9,0.259,8.75,0.0275,0.0,5722.0,0.95,0.97,890.296,2904.145552
993,Kepler-205 b,Kepler-205,1,2,Transit,2014,0.95 m Kepler Telescope,2.75564,0.032,1.51,0.135,2.89,0.00909,0.0,4321.0,0.55,0.59,159.72,521.00664
994,Kepler-1606 b,Kepler-1606,1,1,Transit,2016,0.95 m Kepler Telescope,196.435224,0.6421,2.07,0.185,4.94,0.0155,0.0,5422.0,0.86,0.9,831.287,2711.658194
995,Kepler-1429 b,Kepler-1429,1,1,Transit,2016,0.95 m Kepler Telescope,4.48487493,0.055,1.29,0.115,2.21,0.00696,0.0,5902.0,1.07,1.05,1214.09,3960.36158
996,Kepler-606 b,Kepler-606,1,1,Transit,2016,0.95 m Kepler Telescope,24.31575992,0.17,3.31,0.295,11.0,0.0345,0.0,6161.0,1.22,1.13,1215.11,3963.68882
997,Kepler-1593 b,Kepler-1593,1,1,Transit,2016,0.95 m Kepler Telescope,174.509835,0.546,3.17,0.283,10.2,0.032,0.0,4995.0,0.77,0.81,638.249,2081.968238
998,Kepler-733 b,Kepler-733,1,1,Transit,2016,0.95 m Kepler Telescope,20.83424726,0.1483,2.82,0.252,8.35,0.0263,0.0,5418.0,0.86,0.9,916.706,2990.294972
999,Kepler-1641 b,Kepler-1641,1,2,Transit,2016,0.95 m Kepler Telescope,19.672266,0.1473,3.11,0.277,9.85,0.031,0.0,6152.0,1.19,1.12,860.37,2806.52694
1000,Kepler-57 c,Kepler-57,1,2,Transit,2012,0.95 m Kepler Telescope,11.6092567,0.096,1.55,0.138,2208.83,6.95,0.0,5145.0,0.73,0.83,644.14,2101.18468
1001,Kepler-212 b,Kepler-212,1,2,Transit,2014,0.95 m Kepler Telescope,16.257582,0.133,1.09,0.097,1.32,0.00416,0.0,5852.0,1.46,1.17,687.194,2241.626828
1002,Kepler-221 e,Kepler-221,1,4,Transit,2014,0.95 m Kepler Telescope,18.369917,0.13,2.63,0.235,7.41,0.0233,0.0,5243.0,0.82,0.82,385.231,1256.623522
1003,Kepler-1641 c,Kepler-1641,1,2,Transit,2016,0.95 m Kepler Telescope,32.657212,0.2065,2.95,0.263,9.01,0.0283,0.0,6152.0,1.19,1.12,860.37,2806.52694
1004,Kepler-189 c,Kepler-189,1,2,Transit,2014,0.95 m Kepler Telescope,20.134866,0.137,2.38,0.212,22.7,0.071,0.0,5235.0,0.75,0.79,591.534,1929.583908
1005,Kepler-160 b,Kepler-160,1,3,Transit,2014,0.95 m Kepler Telescope,4.309397,0.05511,1.715,0.153,3.59,0.0113,0.0,5471.0,1.12,0.97,937.013,3056.536406
1006,Kepler-158 b,Kepler-158,1,2,Transit,2014,0.95 m Kepler Telescope,16.709184,0.111,2.12,0.189,5.14,0.0162,0.0,4623.0,0.62,0.66,315.177,1028.1073740000002
1007,Kepler-572 b,Kepler-572,1,1,Transit,2016,0.95 m Kepler Telescope,17.20523483,0.1192,2.58,0.23,7.18,0.0226,0.0,5212.0,0.79,0.83,504.667,1646.2237539999999
1008,Kepler-223 d,Kepler-223,1,4,Transit,2014,0.95 m Kepler Telescope,14.78869,0.1201,5.24,0.467,8.0,0.02517,0.037,5803.0,1.72,1.12,1859.71,6066.37402
1009,Kepler-646 b,Kepler-646,1,1,Transit,2016,0.95 m Kepler Telescope,15.87364565,0.1149,1.99,0.178,4.62,0.0145,0.0,5634.0,0.91,0.93,451.794,1473.7520279999999
1010,Kepler-208 b,Kepler-208,1,4,Transit,2014,0.95 m Kepler Telescope,4.22864,0.054,1.63,0.145,3.29,0.0104,0.0,6092.0,1.31,1.16,775.328,2529.119936
1011,Kepler-161 b,Kepler-161,1,2,Transit,2014,0.95 m Kepler Telescope,4.921355,0.054,2.12,0.189,12.1,0.038,0.0,5078.0,0.81,0.86,434.632,1417.7695840000001
1012,Kepler-1587 b,Kepler-1587,1,1,Transit,2016,0.95 m Kepler Telescope,9.4060467,0.0878,1.33,0.119,2.33,0.00733,0.0,5933.0,1.22,1.08,1026.48,3348.37776
1013,Kepler-1588 b,Kepler-1588,1,1,Transit,2016,0.95 m Kepler Telescope,7.84931739,0.0726,0.76,0.068,0.363,0.00114,0.0,5817.0,0.99,0.96,924.141,3014.5479419999997
1014,Kepler-1589 b,Kepler-1589,1,1,Transit,2016,0.95 m Kepler Telescope,0.99166527,0.0205,1.09,0.097,1.32,0.00416,0.0,6166.0,1.25,1.18,1513.14,4935.86268
1015,Kepler-1613 b,Kepler-1613,1,1,Transit,2016,0.95 m Kepler Telescope,1.5184299,0.0264,2.08,0.186,4.98,0.0157,0.0,6005.0,1.12,1.08,1508.33,4920.17246
1016,Kepler-767 b,Kepler-767,1,1,Transit,2016,0.95 m Kepler Telescope,161.5280101,0.5874,6.64,0.592,35.7,0.112,0.0,5694.0,0.94,0.96,2251.03,7342.8598600000005
1017,Kepler-229 b,Kepler-229,1,3,Transit,2014,0.95 m Kepler Telescope,6.252972,0.062,2.2,0.196,5.48,0.0172,0.0,5120.0,0.73,0.8,826.265,2695.27643
1018,Kepler-573 b,Kepler-573,1,1,Transit,2016,0.95 m Kepler Telescope,22.18329658,0.1486,2.79,0.249,8.2,0.0258,0.0,5746.0,1.02,0.99,771.471,2516.538402
1019,Kepler-208 d,Kepler-208,1,4,Transit,2014,0.95 m Kepler Telescope,11.131786,0.103,1.2,0.107,1.87,0.00588,0.0,6092.0,1.31,1.16,775.328,2529.119936
1020,Kepler-161 c,Kepler-161,1,2,Transit,2014,0.95 m Kepler Telescope,7.06424,0.068,2.05,0.183,11.8,0.037,0.0,5078.0,0.81,0.86,434.632,1417.7695840000001
1021,Kepler-216 b,Kepler-216,1,2,Transit,2014,0.95 m Kepler Telescope,7.693641,0.079,2.35,0.21,6.12,0.0193,0.0,6091.0,1.26,1.11,1187.47,3873.52714
1022,Kepler-1611 b,Kepler-1611,1,1,Transit,2016,0.95 m Kepler Telescope,5.1762429,0.0586,0.81,0.072,0.457,0.00144,0.0,5605.0,0.93,0.94,908.444,2963.3443279999997
1023,Kepler-1618 b,Kepler-1618,1,1,Transit,2016,0.95 m Kepler Telescope,6.10826019,0.0706,1.26,0.112,2.13,0.00669,0.0,6620.0,1.65,1.41,1229.25,4009.8135
1024,Kepler-1614 b,Kepler-1614,1,1,Transit,2016,0.95 m Kepler Telescope,3.9466141,0.0471,1.49,0.133,2.83,0.00889,0.0,5121.0,0.76,0.79,1191.19,3885.6617800000004
1025,Kepler-1612 b,Kepler-1612,1,1,Transit,2016,0.95 m Kepler Telescope,3.91795101,0.0482,1.03,0.092,1.08,0.0034,0.0,5643.0,0.94,0.96,764.726,2494.536212
1026,Kepler-1631 b,Kepler-1631,1,1,Transit,2016,0.95 m Kepler Telescope,4.09513932,0.0511,1.35,0.12,2.39,0.00752,0.0,5679.0,0.95,0.97,1305.99,4260.13938
