,planet_name,hostname,sys_num_stars,sys_num_planet,discovery_method,discovery_year,discovery_telescope,orbital_period,orbital_semi_major,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,eccentricity,stellar_eff_temp,stellar_radius,stellar_mass,dist_system,dist_system_ly
2601,WASP-130 b,WASP-130,1,1,Transit,2016,Canon 200mm f/1.8L,11.55098,0.1012,9.976,0.89,390.9309,1.23,0.0,5625.0,0.96,1.04,172.256,561.899072
2602,LTT 1445 A b,LTT 1445 A,3,1,Transit,2019,0.1 m TESS Telescope,5.35882,0.03807,1.38,0.123,2.2,0.00692,0.19,3337.0,0.28,0.26,6.86929,22.40762398
2603,Kepler-661 b,Kepler-661,1,1,Transit,2016,0.95 m Kepler Telescope,6.02930132,0.0585,3.07,0.274,9.64,0.0303,0.0,4483.0,0.67,0.7,534.788,1744.478456
2604,TOI-892 b,TOI-892,1,1,Transit,2020,0.1 m TESS Telescope,10.62656,0.092,11.994,1.07,301.9385,0.95,0.125,6261.0,1.39,1.28,340.543,1110.8512660000001
2605,TRAPPIST-1 c,TRAPPIST-1,1,7,Transit,2016,0.60 m Transiting Planets and Planetesimals Small Telescope,2.421937,0.0158,1.097,0.098,1.308,0.00412,0.00654,2566.0,0.12,0.09,12.4298888,40.5462972656
2606,Pr0201 b,Pr0201,1,1,Radial Velocity,2012,1.5 m Tillinghast Reflector Telescope,4.4264,0.06,14.2,1.27,171.6282,0.54,0.0,6174.0,1.15,1.24,180.64,589.24768
2607,UZ For c,UZ For,2,2,Eclipse Timing Variations,2011,Multiple Telescopes,1916.25,2.8,,,2447.2,7.7,0.05,5286.9,,0.7,239.6038748,781.5878395976
2608,Kepler-970 b,Kepler-970,2,1,Transit,2016,0.95 m Kepler Telescope,16.73652231,0.1107,2.77,0.247,8.1,0.0255,0.0,4511.0,0.67,0.7,331.545,1081.49979
2609,LkCa 15 b,LkCa 15,1,2,Imaging,2015,Large Binocular Telescope,,14.7,,,,,,4194.0,1.61,,158.152,515.8918239999999
2610,Kepler-897 b,Kepler-897,1,1,Transit,2016,0.95 m Kepler Telescope,8.0472642,0.077,2.39,0.213,6.3,0.0198,0.0,5839.0,1.04,1.03,1519.25,4955.7935
2611,Kepler-923 b,Kepler-923,1,1,Transit,2016,0.95 m Kepler Telescope,6.93366476,0.0715,1.38,0.123,2.48,0.0078,0.0,5988.0,1.26,1.11,1000.28,3262.91336
2612,Kepler-924 b,Kepler-924,1,1,Transit,2016,0.95 m Kepler Telescope,61.0370117,0.3359,3.07,0.274,9.64,0.0303,0.0,6167.0,1.23,1.14,1053.04,3435.01648
2613,Kepler-925 b,Kepler-925,1,1,Transit,2016,0.95 m Kepler Telescope,33.8678531,0.1805,2.34,0.209,6.08,0.0191,0.0,4673.0,0.72,0.77,611.115,1993.45713
2614,Kepler-928 b,Kepler-928,1,1,Transit,2016,0.95 m Kepler Telescope,3.9324613,0.0444,1.59,0.142,3.15,0.00993,0.0,4700.0,0.7,0.73,508.809,1659.734958
2615,MASCARA-1 b,MASCARA-1,1,1,Transit,2017,Multiple Telescopes,2.14878,0.043,16.814,1.5,1175.971,3.7,0.0,7554.0,2.1,1.72,182.273,594.574526
